converged SCF energy = -154.531236020509  <S^2> = 1.0128122  2S+1 = 2.2474984
 ** Mulliken Spin Density (per AO)  **
spin_pop of  5 H 4dz^2     0.00006
spin_pop of  5 H 4dxz     -0.00004
spin_pop of  5 H 4dx2-y2    0.00003
spin_pop of  5 H 4f-3     -0.00003
spin_pop of  5 H 4f-2     -0.00007
spin_pop of  5 H 4f-1     -0.00002
spin_pop of  5 H 4f+0     -0.00000
spin_pop of  5 H 4f+1     -0.00000
spin_pop of  5 H 4f+2     -0.00000
spin_pop of  5 H 4f+3     -0.00000
spin_pop of  6 H 1s       -0.00139
spin_pop of  6 H 2s       -0.00557
spin_pop of  6 H 3s       -0.01783
spin_pop of  6 H 4s       -0.00709
spin_pop of  6 H 2px       0.00002
spin_pop of  6 H 2py       0.00020
spin_pop of  6 H 2pz       0.00002
spin_pop of  6 H 3px       0.00015
spin_pop of  6 H 3py       0.00274
spin_pop of  6 H 3pz       0.00014
spin_pop of  6 H 4px      -0.00024
spin_pop of  6 H 4py       0.01018
spin_pop of  6 H 4pz      -0.00032
spin_pop of  6 H 3dxy      0.00003
spin_pop of  6 H 3dyz      0.00003
spin_pop of  6 H 3dz^2     0.00001
spin_pop of  6 H 3dxz      0.00001
spin_pop of  6 H 3dx2-y2    0.00000
spin_pop of  6 H 4dxy      0.00082
spin_pop of  6 H 4dyz      0.00083
spin_pop of  6 H 4dz^2    -0.00006
spin_pop of  6 H 4dxz      0.00004
spin_pop of  6 H 4dx2-y2   -0.00003
spin_pop of  6 H 4f-3      0.00003
spin_pop of  6 H 4f-2      0.00007
spin_pop of  6 H 4f-1      0.00002
spin_pop of  6 H 4f+0      0.00000
spin_pop of  6 H 4f+1      0.00000
spin_pop of  6 H 4f+2      0.00000
spin_pop of  6 H 4f+3      0.00000
spin_pop of  7 H 1s        0.00139
spin_pop of  7 H 2s        0.00557
spin_pop of  7 H 3s        0.01783
spin_pop of  7 H 4s        0.00710
spin_pop of  7 H 2px      -0.00002
spin_pop of  7 H 2py      -0.00020
spin_pop of  7 H 2pz      -0.00002
spin_pop of  7 H 3px      -0.00015
spin_pop of  7 H 3py      -0.00274
spin_pop of  7 H 3pz      -0.00014
spin_pop of  7 H 4px       0.00024
spin_pop of  7 H 4py      -0.01018
spin_pop of  7 H 4pz       0.00032
spin_pop of  7 H 3dxy     -0.00003
spin_pop of  7 H 3dyz     -0.00003
spin_pop of  7 H 3dz^2    -0.00001
spin_pop of  7 H 3dxz     -0.00001
spin_pop of  7 H 3dx2-y2   -0.00000
spin_pop of  7 H 4dxy     -0.00082
spin_pop of  7 H 4dyz     -0.00083
spin_pop of  7 H 4dz^2     0.00006
spin_pop of  7 H 4dxz     -0.00004
spin_pop of  7 H 4dx2-y2    0.00003
spin_pop of  7 H 4f-3     -0.00003
spin_pop of  7 H 4f-2     -0.00007
spin_pop of  7 H 4f-1     -0.00002
spin_pop of  7 H 4f+0     -0.00000
spin_pop of  7 H 4f+1     -0.00000
spin_pop of  7 H 4f+2     -0.00000
spin_pop of  7 H 4f+3     -0.00000
 ** Mulliken Spin Density (per atom)  **
spin density of  0 C =      0.68288
spin density of  1 C =     -0.68289
spin density of  2 C =      0.68288
spin density of  3 C =     -0.68289
spin density of  4 H =     -0.01720
spin density of  5 H =      0.01721
spin density of  6 H =     -0.01720
spin density of  7 H =      0.01721
M=0.665678.
converged SCF energy = -38.4094582366634  <S^2> = 3.7515293  2S+1 = 4.0007646
converged SCF energy = -38.4094597799577  <S^2> = 3.7515292  2S+1 = 4.0007645
converged SCF energy = -38.4094582366633  <S^2> = 3.7515293  2S+1 = 4.0007646
converged SCF energy = -38.4094597799577  <S^2> = 3.7515292  2S+1 = 4.0007645
converged SCF energy = -38.4094582366635  <S^2> = 3.7515293  2S+1 = 4.0007646
converged SCF energy = -38.4094597799585  <S^2> = 3.7515292  2S+1 = 4.0007646
converged SCF energy = -38.4094582366636  <S^2> = 3.7515293  2S+1 = 4.0007646
converged SCF energy = -38.4094597799585  <S^2> = 3.7515292  2S+1 = 4.0007646
NaCH1: 3.832844622583803
NbCH1: 3.167164316586226
NaCH2: 3.167164315019182
NbCH2: 3.8328446201198103
NaCH3: 3.832844622583801
NbCH3: 3.167164316586224
NaCH4: 3.1671643150191833
NbCH4: 3.8328446201198116
converged SCF energy = -38.4094582366635  <S^2> = 3.7515293  2S+1 = 4.0007646
converged SCF energy = -38.4094597799582  <S^2> = 3.7515293  2S+1 = 4.0007646
converged SCF energy = -38.4094582366634  <S^2> = 3.7515293  2S+1 = 4.0007646
converged SCF energy = -38.4094597799582  <S^2> = 3.7515293  2S+1 = 4.0007646
Ef=-153.63784 L1=2.1427 ECH1=-38.40946 ECH2=-38.40946 ECH3=-38.40946 ECH4=-38.40946.
converged SCF energy = -38.3449568376998  <S^2> = 3.7515906  2S+1 = 4.0007952
converged SCF energy = -38.3449591659051  <S^2> = 3.7515905  2S+1 = 4.0007952
converged SCF energy = -38.3450068617816  <S^2> = 3.7515906  2S+1 = 4.0007952
converged SCF energy = -38.3448668251873  <S^2> = 3.7515905  2S+1 = 4.0007952
itera=  0 step=1.65 Ef=-153.62382 L1=1.6500.
converged SCF energy = -38.5248400522032  <S^2> = 3.7515551  2S+1 = 4.0007775
converged SCF energy = -38.5248745265882  <S^2> = 3.751555  2S+1 = 4.0007774
converged SCF energy = -38.5248815840553  <S^2> = 3.7515551  2S+1 = 4.0007775
converged SCF energy = -38.5247949260426  <S^2> = 3.751555  2S+1 = 4.0007774
itera=  1 step=1.40 Ef=-153.60708 L1=1.4026.
converged SCF energy = -38.3715591912079  <S^2> = 3.7516189  2S+1 = 4.0008094
converged SCF energy = -38.3715785207785  <S^2> = 3.7516188  2S+1 = 4.0008093
converged SCF energy = -38.371640604009  <S^2> = 3.7516189  2S+1 = 4.0008094
converged SCF energy = -38.3714271361498  <S^2> = 3.7516188  2S+1 = 4.0008093
itera=  2 step=1.22 Ef=-153.58982 L1=1.2160.
converged SCF energy = -38.5222928522108  <S^2> = 3.7515787  2S+1 = 4.0007893
converged SCF energy = -38.5223386521507  <S^2> = 3.7515787  2S+1 = 4.0007893
converged SCF energy = -38.5223596474078  <S^2> = 3.7515788  2S+1 = 4.0007893
converged SCF energy = -38.5222119495415  <S^2> = 3.7515786  2S+1 = 4.0007892
itera=  3 step=1.10 Ef=-153.57813 L1=1.1017.
converged SCF energy = -38.4470475231728  <S^2> = 3.7516114  2S+1 = 4.0008056
converged SCF energy = -38.4470868710265  <S^2> = 3.7516113  2S+1 = 4.0008056
converged SCF energy = -38.4471347440701  <S^2> = 3.7516114  2S+1 = 4.0008056
converged SCF energy = -38.4469233387682  <S^2> = 3.7516113  2S+1 = 4.0008056
itera=  4 step=1.00 Ef=-153.56645 L1=0.9978.
converged SCF energy = -38.4957926251971  <S^2> = 3.7516012  2S+1 = 4.0008005
converged SCF energy = -38.4958429983736  <S^2> = 3.7516011  2S+1 = 4.0008005
converged SCF energy = -38.4958782341835  <S^2> = 3.7516012  2S+1 = 4.0008005
converged SCF energy = -38.4956816236655  <S^2> = 3.7516011  2S+1 = 4.0008005
itera=  5 step=0.93 Ef=-153.55745 L1=0.9281.
converged SCF energy = -38.4886068410151  <S^2> = 3.7516089  2S+1 = 4.0008044
converged SCF energy = -38.4886594617802  <S^2> = 3.7516088  2S+1 = 4.0008043
converged SCF energy = -38.4886989025882  <S^2> = 3.7516089  2S+1 = 4.0008044
converged SCF energy = -38.4884861557152  <S^2> = 3.7516088  2S+1 = 4.0008043
itera=  6 step=0.87 Ef=-153.54928 L1=0.8680.
converged SCF energy = -38.49862323108  <S^2> = 3.7516101  2S+1 = 4.000805
converged SCF energy = -38.4986803943738  <S^2> = 3.75161  2S+1 = 4.0008049
converged SCF energy = -38.4987181496763  <S^2> = 3.7516101  2S+1 = 4.000805
converged SCF energy = -38.4985015681705  <S^2> = 3.75161  2S+1 = 4.0008049
itera=  7 step=0.82 Ef=-153.54235 L1=0.8207.
converged SCF energy = -38.5034417638631  <S^2> = 3.7516126  2S+1 = 4.0008062
converged SCF energy = -38.5035023532746  <S^2> = 3.7516125  2S+1 = 4.0008062
converged SCF energy = -38.503539773346  <S^2> = 3.7516126  2S+1 = 4.0008062
converged SCF energy = -38.5033176588311  <S^2> = 3.7516125  2S+1 = 4.0008062
itera=  8 step=0.78 Ef=-153.53628 L1=0.7804.
converged SCF energy = -38.5085450016158  <S^2> = 3.7516146  2S+1 = 4.0008072
converged SCF energy = -38.5086088302735  <S^2> = 3.7516145  2S+1 = 4.0008072
converged SCF energy = -38.5086455884483  <S^2> = 3.7516146  2S+1 = 4.0008072
converged SCF energy = -38.5084192200588  <S^2> = 3.7516145  2S+1 = 4.0008072
itera=  9 step=0.75 Ef=-153.53095 L1=0.7459.
converged SCF energy = -38.5131174523649  <S^2> = 3.7516165  2S+1 = 4.0008082
converged SCF energy = -38.513184227096  <S^2> = 3.7516164  2S+1 = 4.0008081
converged SCF energy = -38.5132203262545  <S^2> = 3.7516165  2S+1 = 4.0008082
converged SCF energy = -38.5129902514305  <S^2> = 3.7516164  2S+1 = 4.0008081
itera= 10 step=0.72 Ef=-153.52624 L1=0.7160.
converged SCF energy = -38.5173455936525  <S^2> = 3.7516182  2S+1 = 4.000809
converged SCF energy = -38.5174150818465  <S^2> = 3.7516182  2S+1 = 4.000809
converged SCF energy = -38.5174505055431  <S^2> = 3.7516183  2S+1 = 4.000809
converged SCF energy = -38.5172172111113  <S^2> = 3.7516182  2S+1 = 4.000809
itera= 11 step=0.69 Ef=-153.52204 L1=0.6899.
converged SCF energy = -38.5212811107293  <S^2> = 3.7516199  2S+1 = 4.0008099
converged SCF energy = -38.5213531107145  <S^2> = 3.7516198  2S+1 = 4.0008098
converged SCF energy = -38.5213878566197  <S^2> = 3.7516199  2S+1 = 4.0008099
converged SCF energy = -38.521151730506  <S^2> = 3.7516198  2S+1 = 4.0008098
itera= 12 step=0.67 Ef=-153.51828 L1=0.6669.
converged SCF energy = -38.5249701078551  <S^2> = 3.7516215  2S+1 = 4.0008107
converged SCF energy = -38.525044444256  <S^2> = 3.7516214  2S+1 = 4.0008106
converged SCF energy = -38.525078517446  <S^2> = 3.7516215  2S+1 = 4.0008107
converged SCF energy = -38.524839876617  <S^2> = 3.7516214  2S+1 = 4.0008106
itera= 13 step=0.65 Ef=-153.51490 L1=0.6463.
converged SCF energy = -38.5284484802168  <S^2> = 3.751623  2S+1 = 4.0008114
converged SCF energy = -38.5285249990396  <S^2> = 3.751623  2S+1 = 4.0008114
converged SCF energy = -38.5285584095492  <S^2> = 3.751623  2S+1 = 4.0008114
converged SCF energy = -38.5283175163395  <S^2> = 3.7516229  2S+1 = 4.0008114
itera= 14 step=0.63 Ef=-153.51183 L1=0.6279.
converged SCF energy = -38.5317456086455  <S^2> = 3.7516245  2S+1 = 4.0008122
converged SCF energy = -38.5318241740959  <S^2> = 3.7516244  2S+1 = 4.0008121
converged SCF energy = -38.5318569350366  <S^2> = 3.7516245  2S+1 = 4.0008122
converged SCF energy = -38.5316140085634  <S^2> = 3.7516244  2S+1 = 4.0008121
itera= 15 step=0.61 Ef=-153.50905 L1=0.6114.
converged SCF energy = -38.5348856835299  <S^2> = 3.7516259  2S+1 = 4.0008129
converged SCF energy = -38.5349661753151  <S^2> = 3.7516258  2S+1 = 4.0008128
converged SCF energy = -38.5349983016116  <S^2> = 3.7516259  2S+1 = 4.0008129
converged SCF energy = -38.5347535264963  <S^2> = 3.7516258  2S+1 = 4.0008128
itera= 16 step=0.60 Ef=-153.50651 L1=0.5966.
converged SCF energy = -38.5378888985108  <S^2> = 3.7516273  2S+1 = 4.0008135
converged SCF energy = -38.5379712096668  <S^2> = 3.7516272  2S+1 = 4.0008135
converged SCF energy = -38.5380027171772  <S^2> = 3.7516273  2S+1 = 4.0008136
converged SCF energy = -38.5377562501757  <S^2> = 3.7516272  2S+1 = 4.0008135
itera= 17 step=0.58 Ef=-153.50418 L1=0.5833.
converged SCF energy = -38.5407715863201  <S^2> = 3.7516286  2S+1 = 4.0008142
converged SCF energy = -38.5408556209942  <S^2> = 3.7516285  2S+1 = 4.0008142
converged SCF energy = -38.5408865260518  <S^2> = 3.7516286  2S+1 = 4.0008142
